combined_data
"TitleKyunki Saas Bhi Kabhi Bahu Thi Overview A mother-in-law's struggle to put up with her three bahu's. The three bahu's have grown up sons. The bahu's sons start to get involved with having girlfriends and the bahu's try and break their relationships up. genre Comedy, Drama, Family"
"TitleKahaani Ghar Ghar Kii Overview The show explored the worlds of its protagonists Parvati Aggarwal and Om Aggarwal, who live in a joint family where by Parvati is an ideal daughter-in-law of Aggarwal family and Om the ideal son. genre Drama"
"TitleKesar Overview A story about a girl, Kesar, who fights for her love, life and family values. genre Family"
TitleKaahin Kissii Roz Overview Shaina is beautiful and talented. Kunal is suave and successful. Shaina and Kunal have a whirlwind romance and get married. Theirs is a match made in heaven. Or is it? Does Shaina know about Kunal's past? And how did his first wife die? genre Thriller
"TitleK. Street Pali Hill Overview A story about three friends relation, emotions and their Secrets. genre Thriller"
"TitleMahabharat Overview The mother of all wars, the epitome of all rivalries, the cauldron of emotions, insecurities, jealousies, and power play - Mahabharat. genre Drama, War"
"TitleKarma Overview Karma is a true super hero who originates from Hindu mythology, created to withstand the onslaught of the demonic forces of Markesh. genre Action, Adventure, Drama"
"TitleHatim Overview Hatim is on an adventurous journey with his friend Hobo, to find answers of the 7 question so that a boy become normal who was turned down into stone by Dajjal (a servant of Satan ) genre Action, Adventure, Fantasy"
"TitleJeet Overview The life of three individuals (Vikram, Janki, and Nandini) and their love, of trust and of sacrifice. It is the story of how losing yourself in love is the best victory that you can have. genre Drama, Romance"
"TitleSaans Overview Priya and Gautam are a happily married couple with two kids, Akul and Mithi. Everything goes wrong when Priya and Gautam become friends with Manisha. Manisha has fallen in love with Gautam....                See full summary » genre Comedy, Drama, Family"
"TitleShagun Overview The story of two cousins, Aradhana and Aarti, brought up together and so close to each other that one hardly needs words to convey her thoughts to the other. Aarti is an optimist - she ...                See full summary » genre Drama"
"TitleKundali Overview The story centers on two sisters, Aarti and Vidhi, Because of their parents' insistence on matching horoscopes, Aarti, the elder sister, is married to the younger brother; while the younger sister Vidhi gets married to the elder brother. genre Drama"
"TitleSon Pari Overview A motherless child finds hope and care in a fairy. genre Drama, Family, Fantasy"
"TitleYeh Hai Mohabbatein Overview Ye Hai Mohabbatein, based on a novel Custody by Manju Kapoor, showcases divorce, infertility, remarriage, mature love and deals with societal issues. It follows the story of Raman and ...                See full summary » genre Drama"
"TitleKuch Toh Hai Tere Mere Darmiyaan Overview Koyal is an ordinary girl from Jamshedpur who believes that there are two types of people: people who live for someone, and people who someone else lives for. Madhavan is Koyal's best ...                See full summary » genre Drama"
"TitlePardes Mein Hai Mera Dil Overview Pardes Mein Hai Mera Dil tells the story of Raghav and Naina, two individuals with a golden heart, who are fated to meet and fall in love in a foreign land, but destined to face challenges before their union. genre Romance"
